,0,77,387,388,766
gene_0,0.0,0.0,0.0,0.0,0.0
gene_1,2.01720929003,0.0,2.35735494013,0.0,3.3513315059
gene_2,3.26552691165,3.19323556037,2.55035893683,1.65347281195,3.51227746214
gene_3,5.47848651208,5.32932814303,7.76251492333,6.0711941787,7.92784905824
gene_4,10.4319989607,10.4152769893,9.90888644537,9.44943756824,9.27799869081
gene_5,0.0,0.0,0.0,0.0,0.0
gene_6,7.17517526213,9.46496022312,7.33920866256,4.5344663073,7.54032180596
gene_7,0.591870870063,1.60250438961,0.0,0.0,0.75557128441
gene_8,0.0,0.0,0.0,0.0,0.0
gene_9,0.0,0.0,0.0,0.0,0.0
gene_10,0.591870870063,0.0,0.0,0.0,0.0
gene_11,1.3342822253,1.01314063249,2.24564777364,0.778460920807,1.02318436925
gene_12,2.01539051939,2.01970191444,2.45706891128,3.26058274793,1.44397788552
gene_13,0.591870870063,1.01314063249,0.0,0.0,0.0
gene_14,0.0,0.0,0.0,1.28131249086,0.426640477504
gene_15,0.0,0.0,0.0,0.0,0.0
gene_16,0.0,0.0,0.0,0.0,0.0
gene_17,0.0,0.0,0.0,0.0,0.0
gene_18,0.591870870063,6.64064984642,0.0,8.10309368729,0.0
gene_19,5.61999396281,8.0540127392,8.2450534997,10.568792178,10.0332715657
gene_20,1.3342822253,2.34292447403,2.24564777364,1.28131249086,3.62723327649
gene_21,0.0,0.0,0.0,1.65347281195,4.91700203371
gene_22,9.79608829288,11.6901988169,9.4107502478,9.96619539417,6.40890543
gene_23,0.0,0.0,0.0,0.0,0.0
gene_24,0.0,0.0,0.0,0.0,0.0
gene_25,1.59865104788,0.0,0.0,1.65347281195,0.0
gene_26,7.21511554062,1.60250438961,0.0,0.0,0.0
gene_27,10.8390699073,10.0787512496,9.23910442004,8.79601039761,9.20163386117
gene_28,6.62020369363,3.48327406045,1.32019582127,6.30320538164,0.426640477504
gene_29,9.51353811877,8.97118714701,4.50503979343,4.34435272679,4.09816686861
gene_30,0.0,1.01314063249,7.06859557878,9.09858483465,7.42081922069
gene_31,4.06365824801,0.0,4.72514672658,1.28131249086,1.44397788552
gene_32,7.7648052584,6.44712456358,7.2071021974,6.49400751449,7.26294987044
gene_33,4.74765593293,2.34292447403,0.806117796036,0.0,1.24889910708
gene_34,13.7143957906,13.5505664372,13.5263525169,14.1772637983,12.680399085
gene_35,10.0344963637,11.3040603574,8.06321709298,9.95063608504,7.76921634284
gene_36,0.0,2.01970191444,0.0,3.26058274793,0.0
gene_37,0.0,0.0,0.0,0.0,1.02318436925
gene_38,9.8334578054,10.4866439901,9.45911189511,9.26045619778,9.39913049608
gene_39,0.0,3.19323556037,0.0,1.28131249086,0.0
